model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
bkt,pending_data,Baselines reported for diagnostic purposes only; we do not claim SOTA.,,,,,,,,,,,,,,train_only
bkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6176659779083798,0.7948907347253559,0.4926142448806474,5766014.0,3.0,0.6174633730257527,0.617875587446238,0.7943713465498949,0.7953520154804542,0.49202071511417617,0.4932640584971793,train_only
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7048655542055133,0.7947346736322064,0.4751788418055923,5766014.0,3.0,0.7046878509867383,0.7051325047930895,0.7941227559235298,0.7952298068427477,0.47461547502453144,0.47592116686986746,full_log
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7044612004763308,0.7947322467940108,0.4751526985401046,5766014.0,3.0,0.7043693876891363,0.7046128693474879,0.7941227559235298,0.7952225263281609,0.47457703630160103,0.4758682661822684,train_only
dkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7093667308597643,0.794268307912603,0.48046279938047326,5766014.0,3.0,0.7092531200151431,0.709495277992232,0.7936973435127208,0.7947503329535331,0.4798724250336425,0.4812086826890077,train_only
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6460912215889892,0.7942074274110986,0.4933222811879822,5766014.0,3.0,0.6458871636741363,0.6462659353585472,0.7936682199246947,0.7946728474768596,0.4927212914945633,0.4940511404978241,full_log
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6457560531090605,0.7942044804086738,0.49329240252432527,5766014.0,3.0,0.6457082445257878,0.645826240726058,0.7936609390276882,0.7946712873665911,0.4926813820008269,0.4940014057314583,train_only
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7102287006634596,0.7947355384955069,0.47306327050295494,5766014.0,3.0,0.7100720612773804,0.7104598465076345,0.7941279565642487,0.7952313669530162,0.47250222695457306,0.4738047555190825,full_log
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.709913769833054,0.7947355384955069,0.47303976724962693,5766014.0,3.0,0.7098184136175476,0.7100606041248416,0.7941279565642487,0.7952313669530162,0.4724683897550514,0.47375987812463055,train_only
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6077642596331042,0.7943895324824005,0.49648257557709935,5766014.0,3.0,0.6077408445375176,0.6078005804665786,0.793852322606145,0.7948454996799174,0.4958863362518064,0.4971804763001361,full_log
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6078669567370998,0.7943888390636381,0.49646194212731026,5766014.0,3.0,0.6076638898564457,0.6080426191747188,0.7938502423498575,0.7948454996799174,0.4958524826069266,0.4971318933098094,train_only
simplekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7184174619186194,0.7963298415258144,0.4657929833111109,5766014.0,3.0,0.7183661735937891,0.7185070509727098,0.7957765596721517,0.796857001852891,0.4652349175112536,0.4665135000263761,train_only
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6603369682991614,0.7943910952453064,0.4878394603974527,5766014.0,3.0,0.6601092904956126,0.660588309572959,0.7938502423498575,0.7948465397534298,0.4872559201249152,0.4885655160582985,full_log
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.6598134095227765,0.794390921899721,0.48781355026677975,5766014.0,3.0,0.6597458532565355,0.659868473506923,0.7938502423498575,0.7948460197166737,0.48721529941875036,0.4885065057827886,train_only
