dataset,augmentation,p,seed,ddr,fold
xes3g5m,attr_mask,0.1,42,0.0,1.0
xes3g5m,attr_mask,0.1,1234,0.0,1.0
xes3g5m,attr_mask,0.2,17,0.0,1.0
xes3g5m,attr_mask,0.2,42,0.0,1.0
xes3g5m,attr_mask,0.2,1234,0.0,1.0
xes3g5m,attr_mask,0.3,17,0.0,1.0
xes3g5m,attr_mask,0.3,42,0.0,1.0
xes3g5m,attr_mask,0.3,1234,0.0,1.0
xes3g5m,edge_drop,0.05,17,0.04235090751944685,1.0
xes3g5m,edge_drop,0.05,42,0.049265341400172864,1.0
xes3g5m,edge_drop,0.05,1234,0.05358686257562662,1.0
xes3g5m,edge_drop,0.1,17,0.08902333621434745,1.0
xes3g5m,edge_drop,0.1,42,0.09248055315471046,1.0
xes3g5m,edge_drop,0.1,1234,0.10112359550561797,1.0
xes3g5m,edge_drop,0.2,17,0.19273984442523767,1.0
xes3g5m,edge_drop,0.2,42,0.21348314606741572,1.0
xes3g5m,edge_drop,0.2,1234,0.2048401037165082,1.0
xes3g5m,edge_drop,0.3,17,0.29559204840103714,1.0
xes3g5m,edge_drop,0.3,42,0.30077787381158166,1.0
xes3g5m,edge_drop,0.3,1234,0.2990492653414002,1.0
xes3g5m,node_drop,0.05,17,0.09075194468452895,1.0
xes3g5m,node_drop,0.05,42,0.10717372515125324,1.0
xes3g5m,node_drop,0.05,1234,0.10112359550561797,1.0
xes3g5m,node_drop,0.1,17,0.17545375972342264,1.0
xes3g5m,node_drop,0.1,42,0.19101123595505617,1.0
xes3g5m,node_drop,0.1,1234,0.2048401037165082,1.0
xes3g5m,node_drop,0.2,17,0.331028522039758,1.0
xes3g5m,node_drop,0.2,42,0.4096802074330164,1.0
xes3g5m,node_drop,0.2,1234,0.4044943820224719,1.0
xes3g5m,node_drop,0.3,17,0.4943820224719101,1.0
xes3g5m,node_drop,0.3,42,0.554019014693172,1.0
xes3g5m,node_drop,0.3,1234,0.5635263612791702,1.0
xes3g5m,subgraph,0.05,17,0.021607605877268798,1.0
xes3g5m,subgraph,0.05,42,0.019878997407087293,1.0
xes3g5m,subgraph,0.05,1234,0.01901469317199654,1.0
xes3g5m,subgraph,0.1,17,0.06309420916162489,1.0
xes3g5m,subgraph,0.1,42,0.05445116681071737,1.0
xes3g5m,subgraph,0.1,1234,0.05099394987035436,1.0
xes3g5m,subgraph,0.2,17,0.1616248919619706,1.0
xes3g5m,subgraph,0.2,42,0.13569576490924806,1.0
xes3g5m,subgraph,0.2,1234,0.12878133102852204,1.0
xes3g5m,subgraph,0.3,17,0.25929127052722556,1.0
xes3g5m,subgraph,0.3,42,0.24027657735522903,1.0
xes3g5m,subgraph,0.3,1234,0.23509075194468454,1.0
xes3g5m,attr_mask,0.05,17,0.0,2.0
xes3g5m,attr_mask,0.05,42,0.0,2.0
xes3g5m,attr_mask,0.05,1234,0.0,2.0
xes3g5m,attr_mask,0.1,17,0.0,2.0
