stratum,n,auc,acc,nll,dataset,model,fold,split_seed
warm,9272,0.7637014674700981,0.6922993960310613,0.603131769032247,assist2012,akt,1.0,43.0
cold,731,0.7543371749044743,0.66484268125855,0.6187294993639436,assist2012,gkt,1.0,43.0
hot,796664,0.6016404324741551,0.6989797455388972,0.5994156398254,assist2012,gkt,1.0,43.0
very_cold,54,0.7445987654320988,0.6666666666666666,0.602505834519617,assist2012,gkt,1.0,43.0
warm,9272,0.7179412807577698,0.6523943054357204,0.6227756465397488,assist2012,gkt,1.0,43.0
cold,731,0.7718360963885122,0.7004103967168263,0.5927491327396589,assist2012,gikt,1.0,43.0
hot,796664,0.6921417749423854,0.7023513049416065,0.5761714802185196,assist2012,gikt,1.0,43.0
very_cold,54,0.7893518518518519,0.6666666666666666,0.5799892621233118,assist2012,gikt,1.0,43.0
warm,9272,0.7536611515126969,0.6810828300258844,0.5973510371236254,assist2012,gikt,1.0,43.0
cold,737,0.7592114233770169,0.7082767978290366,0.5755742412209135,assist2012,bkt,2.0,44.0
hot,791601,0.6059684215124779,0.7005284227786474,0.5958388203540311,assist2012,bkt,2.0,44.0
very_cold,31,0.7605042016806722,0.5161290322580645,0.7054314879451493,assist2012,bkt,2.0,44.0
warm,9051,0.7068833998470847,0.6471108164843664,0.62348829879851,assist2012,bkt,2.0,44.0
cold,737,0.7725854101961973,0.7042062415196744,0.601026556878429,assist2012,dkt,2.0,44.0
hot,791601,0.688383191080132,0.6998134161023041,0.583753853751534,assist2012,dkt,2.0,44.0
very_cold,31,0.7878151260504201,0.4516129032258064,0.7334602316344354,assist2012,dkt,2.0,44.0
warm,9051,0.732468703671785,0.645564026074467,0.6334187624459436,assist2012,dkt,2.0,44.0
cold,737,0.7741383228543293,0.7069199457259159,0.5676480905601066,assist2012,simplekt,2.0,44.0
hot,791601,0.6966591563415876,0.7096731813123025,0.5686340851993278,assist2012,simplekt,2.0,44.0
very_cold,31,0.7794117647058824,0.4516129032258064,0.7002837242551718,assist2012,simplekt,2.0,44.0
warm,9051,0.7363455051779568,0.6686553971936803,0.60486683550608,assist2012,simplekt,2.0,44.0
cold,737,0.7742443754261041,0.7082767978290366,0.5881956591824594,assist2012,akt,2.0,44.0
hot,791601,0.6826934057359527,0.7026052266230083,0.5819484616686866,assist2012,akt,2.0,44.0
very_cold,31,0.7794117647058824,0.4516129032258064,0.6973425358054696,assist2012,akt,2.0,44.0
warm,9051,0.7345835905247491,0.66114241520274,0.6212860809150645,assist2012,akt,2.0,44.0
cold,737,0.7592114233770169,0.6675712347354138,0.6187946819166872,assist2012,gkt,2.0,44.0
hot,791601,0.6011461021963002,0.6996390858525949,0.599182061963731,assist2012,gkt,2.0,44.0
very_cold,31,0.7605042016806722,0.4516129032258064,0.745497516868965,assist2012,gkt,2.0,44.0
warm,9051,0.6882059750906124,0.6243509004529886,0.6435738705143803,assist2012,gkt,2.0,44.0
cold,737,0.7749412923263389,0.7082767978290366,0.5932828846079518,assist2012,gikt,2.0,44.0
hot,791601,0.6919238246583205,0.7027555548818155,0.5759201746140624,assist2012,gikt,2.0,44.0
very_cold,31,0.7794117647058824,0.4516129032258064,0.7279323429624052,assist2012,gikt,2.0,44.0
warm,9051,0.7227204738116529,0.6495414871284941,0.6202227856623307,assist2012,gikt,2.0,44.0
cold,2592,0.7896217610891524,0.7881944444444444,0.45908507000598214,xes3g5m,bkt,0.0,42.0
hot,1902424,0.6157860218090554,0.7942819266367539,0.4937725262178339,xes3g5m,bkt,0.0,42.0
out_of_range,6,0.5,0.6666666666666666,0.6396065257846726,xes3g5m,bkt,0.0,42.0
very_cold,161,0.8208369659982563,0.8136645962732919,0.41924174756499577,xes3g5m,bkt,0.0,42.0
warm,17655,0.7630450394811475,0.8048145001416029,0.4440698500902884,xes3g5m,bkt,0.0,42.0
cold,2592,0.7956149225170964,0.7592592592592593,0.4779646844664622,xes3g5m,dkt,0.0,42.0
hot,1902424,0.7082757983393633,0.7937515506532719,0.48147112001112624,xes3g5m,dkt,0.0,42.0
out_of_range,6,0.625,0.6666666666666666,0.6365119678723503,xes3g5m,dkt,0.0,42.0
very_cold,161,0.8115736704446382,0.7701863354037267,0.4486336867303784,xes3g5m,dkt,0.0,42.0
warm,17655,0.7861217329163805,0.7932030586236194,0.45360154574960304,xes3g5m,dkt,0.0,42.0
cold,2592,0.7975214097496707,0.7935956790123457,0.4525661159247139,xes3g5m,simplekt,0.0,42.0
hot,1902424,0.7174648422271488,0.7956948608722346,0.4668643866359244,xes3g5m,simplekt,0.0,42.0
